Created Due : Wed Aug  3 11:30:34 2022

Time,actual_pos,actual_vel,actual_tor
1659493837692528749,-1,0,-11,
1659493837694537141,-1,0,-11,
1659493837696528610,0,0,-41,
1659493837698527280,1,0,-21,
1659493837701034900,-1,0,4,
1659493837702501049,-1,0,39,
1659493837704531259,-1,0,-6,
1659493837706527611,0,0,9,
1659493837708538114,0,0,-11,
1659493837710545507,0,0,9,
1659493837712532943,0,0,-21,
1659493837714502288,-1,0,24,
1659493837716616447,-1,0,4,
1659493837718615543,0,37,19,
1659493837720541673,0,0,24,
1659493837722512944,-1,0,-26,
1659493837724544690,-1,0,-1,
1659493837726518724,0,37,-1,
1659493837728519854,0,0,-21,
1659493837730539583,0,0,9,
1659493837732856798,0,0,-1,
1659493837734538641,1,0,-21,
1659493837736532581,0,0,-11,
1659493837738510490,-1,0,-26,
1659493837740535928,-1,0,29,
1659493837742477843,-1,0,19,
1659493837744540385,0,0,-11,
1659493837746517682,0,0,-6,
1659493837748534389,-1,0,-21,
1659493837750537076,0,37,-6,
1659493837752602809,0,0,4,
1659493837754505790,-1,0,34,
1659493837756517311,-1,0,-36,
1659493837758522787,0,0,-21,
1659493837760601602,-1,0,4,
1659493837762786515,0,0,14,
1659493837764529878,1,0,-11,
1659493837766615304,0,0,4,
1659493837768495746,0,0,-1,
1659493837770536166,-1,0,-11,
1659493837772486696,0,37,14,
1659493837774522246,0,0,-31,
1659493837776529661,0,0,-16,
1659493837778495952,0,0,-1,
1659493837780518943,0,0,-21,
1659493837784662250,0,37,-11,
1659493837786617345,0,0,-11,
1659493837788576753,0,0,-11,
1659493837790607333,0,0,14,
1659493837792708264,0,0,-26,
1659493837794617188,-1,0,4,
1659493837796600187,0,37,34,
1659493837798489084,1,0,-11,
1659493837800518639,-1,-37,4,
1659493837802575610,-1,0,-26,
1659493837804476130,-1,0,29,
1659493837806608776,-1,0,-11,
1659493837808531015,-1,0,34,
1659493837810615751,0,0,14,
1659493837812528909,0,0,4,
1659493837814524226,-1,0,-16,
1659493837816608597,-1,0,14,
1659493837818543903,0,0,14,
1659493837820522216,0,0,14,
1659493837822604106,0,0,-6,
1659493837824510543,-1,-37,24,
1659493837826531190,-1,0,-1,
1659493837828495278,0,0,-1,
1659493837830532425,0,0,-26,
1659493837832503692,-1,0,-11,
1659493837834524467,-1,0,-11,
1659493837836529956,0,0,24,
1659493837838614480,-1,0,14,
1659493837840614486,-1,0,-11,
1659493837842582121,0,0,-1,
1659493837844526819,-1,-37,19,
1659493837846498641,-1,0,-21,
1659493837848540219,-1,0,-1,
1659493837850497194,-1,0,19,
