Created Due : Mon Aug  1 15:39:25 2022

Time,actual_pos,actual_vel,actual_tor
1659335973220159839,-4128,0,-7,
1659335973221150822,-4127,0,-7,
1659335973222150351,-4127,0,24,
1659335973223151618,-4127,0,-5,
1659335973224156085,-4128,0,-5,
1659335973225151111,-4129,0,64,
1659335973226154149,-4128,37,14,
1659335973227170061,-4128,0,-33,
1659335973228156333,-4128,0,12,
1659335973229183940,-4128,0,12,
1659335973230153359,-4128,0,-3,
1659335973231150827,-4128,0,-7,
1659335973232179212,-4128,0,-7,
1659335973233153088,-4128,0,-17,
1659335973234172438,-4128,0,21,
1659335973235171303,-4128,0,3,
1659335973236171689,-4128,0,0,
1659335973237170182,-4128,0,-19,
1659335973238170699,-4128,0,0,
1659335973239173114,-4128,0,43,
1659335973240173274,-4128,0,-24,
1659335973241170988,-4127,37,-7,
1659335973242172673,-4127,0,7,
1659335973243186450,-4128,-37,-14,
1659335973244176607,-4129,0,12,
1659335973245179185,-4129,0,12,
1659335973246188666,-4128,37,-14,
1659335973247392108,-4127,37,-14,
1659335973248160652,-4127,0,-7,
1659335973249152615,-4127,0,5,
1659335973250156660,-4128,0,0,
1659335973251166470,-4128,0,16,
1659335973252160345,-4128,0,38,
1659335973253173253,-4129,0,41,
1659335973254152183,-4129,0,-7,
1659335973255151651,-4128,0,-41,
1659335973256169613,-4128,0,38,
1659335973257166587,-4128,0,5,
1659335973258147667,-4128,0,3,
1659335973259171156,-4127,37,-5,
1659335973260170440,-4127,0,0,
1659335973261147929,-4127,0,0,
1659335973264686322,-4127,0,18,
1659335973265161949,-4127,0,-17,
1659335973266181115,-4127,0,-24,
1659335973267176177,-4127,0,16,
1659335973268170778,-4127,0,36,
1659335973269171094,-4127,0,5,
1659335973270172458,-4127,0,5,
1659335973271173238,-4127,0,-17,
1659335973272172728,-4127,0,36,
1659335973273174830,-4127,0,26,
1659335973274169913,-4127,0,24,
1659335973275175077,-4128,0,10,
1659335973276194467,-4128,0,-14,
1659335973277176768,-4128,0,-7,
1659335973278177286,-4128,0,16,
1659335973279444701,-4127,0,-22,
1659335973280183403,-4127,0,-5,
1659335973281177076,-4127,0,-5,
1659335973282150269,-4128,0,12,
1659335973283184992,-4128,0,5,
1659335973284164999,-4128,0,-10,
1659335973285160459,-4128,0,-7,
1659335973286177264,-4127,0,-17,
1659335973287150015,-4127,0,7,
1659335973288189335,-4127,0,-3,
1659335973289149840,-4127,0,26,
1659335973290194957,-4128,0,-28,
1659335973291148768,-4128,0,-12,
1659335973292159145,-4128,0,21,
1659335973293171915,-4127,0,-12,
1659335973294178890,-4127,0,47,
1659335973295178756,-4128,-37,5,
1659335973296175616,-4129,0,26,
1659335973297169078,-4129,0,-5,
1659335973298172127,-4128,37,24,
1659335973299156592,-4128,0,-5,
1659335973300177103,-4127,0,-10,
1659335973301179157,-4127,0,-9,
1659335973302175400,-4128,0,26,
1659335973303171472,-4128,0,38,
1659335973304174427,-4129,0,33,
1659335973305171139,-4129,0,5,
1659335973306184649,-4128,0,-5,
1659335973307182568,-4128,0,-17,
1659335973308178621,-4128,0,3,
1659335973309513771,-4128,0,16,
1659335973310185011,-4128,0,-14,
1659335973311176931,-4128,0,24,
1659335973312155072,-4128,0,12,
1659335973313182903,-4128,0,5,
1659335973314174635,-4128,0,2,
1659335973315173077,-4128,0,3,
1659335973316172929,-4127,0,-14,
1659335973317188806,-4127,0,-3,
1659335973318161106,-4127,0,3,
1659335973319154162,-4127,0,3,
1659335973320172755,-4128,0,-5,
1659335973321177459,-4128,0,24,
